DEP,PROV,DIST,n_puntos,poblacion_total,tiempo_medio_simple_min,tiempo_mediana_min,tiempo_medio_ponderado_min
CUSCO,PAUCARTAMBO,CHALLABAMBA,30,5919.0,108.6904833197431,109.29688138836948,103.58071013076982
CUSCO,PAUCARTAMBO,COLQUEPATA,26,6283.0,66.26065707908319,64.20098261739747,64.85435306393457
CUSCO,PAUCARTAMBO,HUANCARANI,12,4563.0,54.6852387846524,51.413908803005114,55.99945873839538
CUSCO,PAUCARTAMBO,KOSÐIPATA,32,2622.0,157.80281228529185,160.19685466555512,163.60796567528814
CUSCO,PAUCARTAMBO,PAUCARTAMBO,42,10476.0,94.82633339392632,89.53073247845637,89.8311447539291
CUSCO,QUISPICANCHI,ANDAHUAYLILLAS,16,1730.0,53.14447549347852,52.3429052712796,52.34683520558815
CUSCO,QUISPICANCHI,CAMANTI,35,1721.0,270.7938120413141,276.9983709645136,271.5359178336933
CUSCO,QUISPICANCHI,CCARHUAYO,21,2327.0,120.20285830556713,122.35892019794855,114.17201392334586
CUSCO,QUISPICANCHI,CCATCA,47,8097.0,85.0067030591998,85.49505660198567,83.38750806586864
CUSCO,QUISPICANCHI,CUSIPATA,19,3704.0,104.05752696451414,104.27753680306196,104.29490900205843
CUSCO,QUISPICANCHI,HUARO,14,4007.0,67.98595072327545,64.7914435907078,64.45859943053253
CUSCO,QUISPICANCHI,LUCRE,13,4651.0,39.48421216615055,38.94152957593296,39.069972479558345
CUSCO,QUISPICANCHI,MARCAPATA,56,3259.0,164.5796843703485,163.62440776655112,165.13851257715643
CUSCO,QUISPICANCHI,OCONGATE,22,6645.0,123.31687028823472,122.1213792519133,123.82518453136251
CUSCO,QUISPICANCHI,OROPESA,16,6445.0,22.0956720738456,21.83531733405822,24.695712248726235
CUSCO,QUISPICANCHI,QUIQUIJANA,21,10004.0,99.77807211832277,99.35847919889709,101.21126329161665
CUSCO,QUISPICANCHI,URCOS,17,9526.0,70.1127589772077,69.53333708575818,68.71079190306816
CUSCO,URUBAMBA,CHINCHERO,20,7562.0,32.1381821576969,33.56610270134378,32.64051742517525
CUSCO,URUBAMBA,HUAYLLABAMBA,14,3957.0,46.573418480901736,47.153592645513115,46.495697155269895
CUSCO,URUBAMBA,MACHUPICCHU,16,502.0,93.7493696205709,98.79957619224189,100.10779357055974
CUSCO,URUBAMBA,MARAS,21,6681.0,56.678879636606034,54.64851594505206,58.01374235292525
CUSCO,URUBAMBA,OLLANTAYTAMBO,31,7098.0,95.76762355678106,95.78639427271905,93.69364213672023
CUSCO,URUBAMBA,URUBAMBA,23,13731.0,67.32907344154573,64.54394122081607,61.23993242830188
CUSCO,URUBAMBA,YUCAY,8,129.0,53.52994742091135,53.31285336276848,53.393918240542746
ICA,CHINCHA,ALTO LARAN,30,3674.0,31.263646420639763,29.614339225038854,15.859851044092549
ICA,CHINCHA,CHAVIN,28,734.0,86.38474899830462,90.66507700132675,90.94381852040567
ICA,CHINCHA,CHINCHA ALTA,1,63656.0,0.957215683057823,0.957215683057823,0.957215683057823
ICA,CHINCHA,CHINCHA BAJA,26,8260.0,17.933762031414002,16.107573862688483,14.994839572597757
ICA,CHINCHA,EL CARMEN,21,7648.0,27.175356804310677,26.886852712108674,25.50518283543108
ICA,CHINCHA,GROCIO PRADO,19,17175.0,29.7482635665826,34.11649462416397,8.016391798182894
ICA,CHINCHA,PUEBLO NUEVO,1,57339.0,0.6835259438049867,0.6835259438049867,0.6835259438049867
ICA,CHINCHA,SAN JUAN DE YANAC,19,648.0,75.94873153944722,79.01172314749867,82.61390470391123
ICA,CHINCHA,SAN PEDRO DE HUACARPANA,16,1158.0,116.19739372337354,112.78417499206273,119.46759678290792
ICA,CHINCHA,SUNAMPE,5,1345.0,8.224449055697495,8.401438343144315,7.860884354244923
ICA,CHINCHA,TAMBO DE MORA,12,418.0,16.196607449502448,16.987923900686038,16.028641894317474
ICA,ICA,ICA,10,133675.0,10.32116336800983,12.014164360283484,0.41383304072765276
ICA,ICA,LA TINGUIÐA,17,2093.0,11.821587161879078,11.402214802646132,13.44180479676842
ICA,ICA,LOS AQUIJES,16,14965.0,7.754375047700228,7.79476005648954,8.675246677452686
ICA,ICA,OCUCAJE,10,2382.0,82.885409638459,68.16793358106571,68.37635717209406
ICA,ICA,PACHACUTEC,14,516.0,22.592681732769506,22.599646852459678,22.929009754935
ICA,ICA,PARCONA,12,32917.0,5.171092380129759,5.047950024080212,5.98957747862862
ICA,ICA,PUEBLO NUEVO,13,3305.0,11.24624326531218,11.106842518355684,11.993955680675889
ICA,ICA,SALAS,42,13958.0,44.872041399034956,48.08121189531441,20.5966003870308
ICA,ICA,SAN JOSE DE LOS MOLINOS,20,2846.0,34.11779560285717,32.58555980614551,30.39083121708423
ICA,ICA,SAN JUAN BAUTISTA,25,3506.0,15.225095380496768,13.94984094215479,15.059379988455404
ICA,ICA,SANTIAGO,23,17053.0,37.735189889309865,35.76669766371983,33.012287036895984
ICA,ICA,SUBTANJALLA,3,21221.0,10.393401706636558,11.060027745271597,11.005880928386036
ICA,ICA,TATE,4,2622.0,18.1996496191726,18.842685476639318,18.530189248367314
ICA,ICA,YAUCA DEL ROSARIO,17,1951.0,77.34730744892016,80.18349571746019,73.13648049419572
ICA,NAZCA,CHANGUILLO,15,2742.0,48.28938937369623,36.42228924743786,41.791609788636094
ICA,NAZCA,EL INGENIO,22,952.0,42.80541042188358,41.670380648034296,39.38863230409076
ICA,NAZCA,MARCONA,5,17299.0,114.60342693398607,120.60564225841793,134.81346787888558
ICA,NAZCA,NAZCA,39,30310.0,21.490921882118172,17.009652079287253,2.6560664344819607
ICA,NAZCA,VISTA ALEGRE,15,1761.0,32.639476525486245,27.08960072964515,31.05520398731921
ICA,PALPA,LLIPATA,6,874.0,11.808729221477288,10.864444012988713,11.715826536712456
ICA,PALPA,PALPA,27,9669.0,8.242392090617898,4.741794098373442,2.7764199361530206
ICA,PALPA,RIO GRANDE,17,1222.0,41.68175688432528,43.142681720490074,30.73775639513486
ICA,PALPA,SANTA CRUZ,16,775.0,26.600947430477813,22.529378366120035,20.43219138004934
ICA,PALPA,TIBILLO,14,199.0,95.40565068842334,96.77284300159629,95.77850415656339
ICA,PISCO,HUANCANO,23,1081.0,117.16594997946144,113.07345202958749,116.30362916859964
ICA,PISCO,HUMAY,21,4597.0,60.670168736113204,59.441755846197296,54.605344352556116
ICA,PISCO,INDEPENDENCIA,17,5184.0,37.757146393766796,38.94063417657201,40.381736170865445
ICA,PISCO,PARACAS,10,1669.0,39.01243027430622,33.67059515518572,37.781183294034925
ICA,PISCO,PISCO,8,4413.0,5.653570568345509,5.316384890263047,7.088554327225388
ICA,PISCO,SAN ANDRES,16,15264.0,16.228568115979694,12.107762156853191,8.77671766169123
ICA,PISCO,SAN CLEMENTE,12,17939.0,19.164274368434594,19.40267683168817,9.40892942750805
ICA,PISCO,TUPAC AMARU INCA,5,172.0,12.405276308677582,13.71023429836081,9.525091414362198
LORETO,ALTO AMAZONAS,BALSAPUERTO,48,8846.0,92.7157022466089,88.21726996435723,98.89824740999516
LORETO,ALTO AMAZONAS,BARRANCA,28,8934.0,305.29914190895533,310.8936016434967,283.4125795045194
LORETO,ALTO AMAZONAS,CAHUAPANAS,24,3662.0,237.25098040750206,242.88142325999934,235.25823516750938
LORETO,ALTO AMAZONAS,JEBEROS,16,2057.0,174.0788905571158,166.21143251301615,181.63871469068903
LORETO,ALTO AMAZONAS,LAGUNAS,26,10611.0,229.63365645823856,223.88080018906697,199.29280039609048
LORETO,ALTO AMAZONAS,MANSERICHE,22,3572.0,428.1663418798398,419.85095124068886,430.8701471407252
LORETO,ALTO AMAZONAS,MORONA,28,5126.0,539.6366420444826,528.390181532787,509.2613059327873
LORETO,ALTO AMAZONAS,PASTAZA,62,8604.0,479.3209217281905,499.9594281341513,428.30829400600885
LORETO,ALTO AMAZONAS,SANTA CRUZ,17,3590.0,90.55729618893368,95.06543175545443,88.75927003440765
LORETO,ALTO AMAZONAS,TENIENTE CESAR LOPEZ ROJAS,14,3289.0,61.08355177489937,65.98191026555213,61.26384075928671
LORETO,ALTO AMAZONAS,YURIMAGUAS,70,50516.0,30.99689816841568,27.00467191121956,9.58107775723106
LORETO,LORETO,NAUTA,57,22916.0,215.34837913243146,223.6526223473805,195.64547716429158
LORETO,LORETO,PARINARI,12,4801.0,318.46601530992695,329.95722957268396,319.28981945672217
LORETO,LORETO,TIGRE,23,5311.0,328.32963047476886,301.557010650249,351.2884417241421
LORETO,LORETO,TROMPETEROS,18,3564.0,454.594165104686,483.217068580781,432.43414351555987
LORETO,LORETO,URARINAS,44,8764.0,373.3433649294822,388.3589781167274,364.13784385170953
LORETO,MARISCAL RAMON CASTILLA,PEBAS,38,8772.0,320.81152607650256,327.2433213298917,336.7919984582946
LORETO,MARISCAL RAMON CASTILLA,RAMON CASTILLA,43,10946.0,635.9309908114882,628.6491863948835,651.296216397636
LORETO,MARISCAL RAMON CASTILLA,SAN PABLO,24,10154.0,467.89957148935156,459.12430029093787,450.6326075040429
LORETO,MARISCAL RAMON CASTILLA,YAVARI,23,2298.0,643.6174441345258,658.0630612308747,655.9584623218302
LORETO,MAYNAS,ALTO NANAY,31,2040.0,158.05626914517035,144.4948379347317,116.16148533454164
LORETO,MAYNAS,BELEN,34,7078.0,19.032837065026076,19.04131386953614,16.639213988643533
LORETO,MAYNAS,FERNANDO LORES,72,20883.0,85.04354841583553,85.81108786494495,76.21590147036103
LORETO,MAYNAS,INDIANA,29,10473.0,89.48593413682217,93.4289119803605,80.59344057650091
LORETO,MAYNAS,IQUITOS,10,167536.0,31.888958671950085,23.5294606009575,2.756125497148537
LORETO,MAYNAS,LAS AMAZONAS,37,8760.0,166.30626084010487,156.17410508197537,163.76529938541174
LORETO,MAYNAS,MAZAN,41,7546.0,93.49222310180966,88.24357922611905,94.71089149839095
LORETO,MAYNAS,NAPO,43,6712.0,107.199765178659,102.46216415924223,94.59457754178642
LORETO,MAYNAS,PUNCHANA,34,5142.0,34.27304521374353,30.486106702977338,29.282140957068663
LORETO,MAYNAS,PUTUMAYO,52,3219.0,413.0466421429177,411.94340377756237,464.79775052900607
LORETO,MAYNAS,SAN JUAN BAUTISTA,39,9599.0,60.19734610340441,66.60987296754973,49.46484179110926
LORETO,MAYNAS,TORRES CAUSANA,13,2996.0,358.6051848568792,317.275778795563,334.2292195550796
LORETO,REQUENA,ALTO TAPICHE,10,1548.0,235.3281010562303,214.15303428203583,299.6652348827443
LORETO,REQUENA,CAPELO,6,3376.0,412.8620637614551,407.7385190435806,418.97286920128283
LORETO,REQUENA,EMILIO SAN MARTIN,17,4546.0,385.2438319004101,394.41677415235364,400.2888087745535
LORETO,REQUENA,JENARO HERRERA,8,4475.0,277.3181246862046,280.34574902698,278.093037047674
LORETO,REQUENA,MAQUIA,30,6474.0,333.8328016963842,340.24776066160257,339.8565016501338
LORETO,REQUENA,PUINAHUA,11,2734.0,402.7065013916601,407.11562506063547,413.75174928468493
LORETO,REQUENA,REQUENA,23,3867.0,364.1477948681275,365.4922573591173,362.48508485274186
LORETO,REQUENA,SAQUENA,9,3064.0,219.33048312531358,219.01378551035435,224.22676658814026
LORETO,REQUENA,SOPLIN,4,477.0,408.18609462458767,417.8880288704985,414.50567640325914
LORETO,REQUENA,TAPICHE,6,1550.0,405.7390051917389,398.95316673244656,417.54605020615304
LORETO,REQUENA,YAQUERANA,8,1338.0,379.6772195076979,347.06111552322557,384.8046576877298
LORETO,UCAYALI,CONTAMANA,42,16134.0,66.40174454033729,38.65921254926914,34.525957196584635
LORETO,UCAYALI,INAHUAYA,4,2025.0,84.19533612254453,82.4725783266258,81.91458262684893
LORETO,UCAYALI,PADRE MARQUEZ,13,2898.0,128.59025222055638,130.27896624120615,126.80445755006103
LORETO,UCAYALI,PAMPA HERMOSA,9,2940.0,85.93945914920263,76.2597252951201,81.81764659035234
LORETO,UCAYALI,SARAYACU,35,8058.0,232.31472471489602,233.4675567743128,229.99966415116523
LORETO,UCAYALI,VARGAS GUERRA,9,6637.0,116.90961722915443,124.20632415327623,110.25619222253326
